,Year,variable,value
0,1950,January,-1.5
75,1950,February,-1.3
150,1950,March,-1.2
225,1950,April,-1.2
300,1950,May,-1.1
375,1950,June,-0.9
450,1950,July,-0.5
525,1950,August,-0.4
600,1950,September,-0.4
675,1950,October,-0.4
750,1950,November,-0.6
825,1950,December,-0.8
1,1951,January,-0.8
76,1951,February,-0.5
151,1951,March,-0.2
226,1951,April,0.2
301,1951,May,0.4
376,1951,June,0.6
451,1951,July,0.7
526,1951,August,0.9
601,1951,September,1
676,1951,October,1.2
751,1951,November,1
826,1951,December,0.8
2,1952,January,0.5
77,1952,February,0.4
152,1952,March,0.3
227,1952,April,0.3
302,1952,May,0.2
377,1952,June,0
452,1952,July,-0.1
527,1952,August,0
602,1952,September,0.2
677,1952,October,0.1
752,1952,November,0
827,1952,December,0.1
3,1953,January,0.4
78,1953,February,0.6
153,1953,March,0.6
228,1953,April,0.7
303,1953,May,0.8
378,1953,June,0.8
453,1953,July,0.7
528,1953,August,0.7
603,1953,September,0.8
678,1953,October,0.8
753,1953,November,0.8
828,1953,December,0.8
4,1954,January,0.8
79,1954,February,0.5
154,1954,March,0
229,1954,April,-0.4
304,1954,May,-0.5
379,1954,June,-0.5
454,1954,July,-0.6
529,1954,August,-0.8
604,1954,September,-0.9
679,1954,October,-0.8
754,1954,November,-0.7
829,1954,December,-0.7
5,1955,January,-0.7
80,1955,February,-0.6
155,1955,March,-0.7
230,1955,April,-0.8
305,1955,May,-0.8
380,1955,June,-0.7
455,1955,July,-0.7
530,1955,August,-0.7
605,1955,September,-1.1
680,1955,October,-1.4
755,1955,November,-1.7
830,1955,December,-1.5
6,1956,January,-1.1
81,1956,February,-0.8
156,1956,March,-0.6
231,1956,April,-0.5
306,1956,May,-0.5
381,1956,June,-0.5
456,1956,July,-0.6
531,1956,August,-0.6
606,1956,September,-0.5
681,1956,October,-0.4
756,1956,November,-0.4
831,1956,December,-0.4
7,1957,January,-0.2
82,1957,February,0.1
157,1957,March,0.4
232,1957,April,0.7
307,1957,May,0.9
382,1957,June,1.1
457,1957,July,1.3
532,1957,August,1.3
607,1957,September,1.3
682,1957,October,1.4
757,1957,November,1.5
832,1957,December,1.7
8,1958,January,1.8
83,1958,February,1.7
158,1958,March,1.3
233,1958,April,0.9
308,1958,May,0.7
383,1958,June,0.6
458,1958,July,0.6
533,1958,August,0.4
608,1958,September,0.4
683,1958,October,0.4
758,1958,November,0.5
833,1958,December,0.6
9,1959,January,0.6
84,1959,February,0.6
159,1959,March,0.5
234,1959,April,0.3
309,1959,May,0.2
384,1959,June,-0.1
459,1959,July,-0.2
534,1959,August,-0.3
609,1959,September,-0.1
684,1959,October,0
759,1959,November,0
834,1959,December,0
10,1960,January,-0.1
85,1960,February,-0.1
160,1960,March,-0.1
235,1960,April,0
310,1960,May,0
385,1960,June,0
460,1960,July,0.1
535,1960,August,0.2
610,1960,September,0.3
685,1960,October,0.2
760,1960,November,0.1
835,1960,December,0.1
11,1961,January,0
86,1961,February,0
161,1961,March,0
236,1961,April,0.1
311,1961,May,0.2
386,1961,June,0.3
461,1961,July,0.1
536,1961,August,-0.1
611,1961,September,-0.3
686,1961,October,-0.3
761,1961,November,-0.2
836,1961,December,-0.2
12,1962,January,-0.2
87,1962,February,-0.2
162,1962,March,-0.2
237,1962,April,-0.3
312,1962,May,-0.3
387,1962,June,-0.2
462,1962,July,0
537,1962,August,-0.1
612,1962,September,-0.1
687,1962,October,-0.2
762,1962,November,-0.3
837,1962,December,-0.4
13,1963,January,-0.4
88,1963,February,-0.2
163,1963,March,0.2
238,1963,April,0.3
313,1963,May,0.3
388,1963,June,0.5
463,1963,July,0.9
538,1963,August,1.1
613,1963,September,1.2
688,1963,October,1.3
763,1963,November,1.4
838,1963,December,1.3
14,1964,January,1.1
89,1964,February,0.6
164,1964,March,0.1
239,1964,April,-0.3
314,1964,May,-0.6
389,1964,June,-0.6
464,1964,July,-0.6
539,1964,August,-0.7
614,1964,September,-0.8
689,1964,October,-0.8
764,1964,November,-0.8
839,1964,December,-0.8
15,1965,January,-0.6
90,1965,February,-0.3
165,1965,March,-0.1
240,1965,April,0.2
315,1965,May,0.5
390,1965,June,0.8
465,1965,July,1.2
540,1965,August,1.5
615,1965,September,1.9
690,1965,October,2
765,1965,November,2
840,1965,December,1.7
16,1966,January,1.4
91,1966,February,1.2
166,1966,March,1
241,1966,April,0.7
316,1966,May,0.4
391,1966,June,0.2
466,1966,July,0.2
541,1966,August,0.1
616,1966,September,-0.1
691,1966,October,-0.1
766,1966,November,-0.2
841,1966,December,-0.3
17,1967,January,-0.4
92,1967,February,-0.5
167,1967,March,-0.5
242,1967,April,-0.4
317,1967,May,-0.2
392,1967,June,0
467,1967,July,0
542,1967,August,-0.2
617,1967,September,-0.3
692,1967,October,-0.4
767,1967,November,-0.3
842,1967,December,-0.4
18,1968,January,-0.6
93,1968,February,-0.7
168,1968,March,-0.6
243,1968,April,-0.4
318,1968,May,0
393,1968,June,0.3
468,1968,July,0.6
543,1968,August,0.5
618,1968,September,0.4
693,1968,October,0.5
768,1968,November,0.7
843,1968,December,1
19,1969,January,1.1
94,1969,February,1.1
169,1969,March,0.9
244,1969,April,0.8
319,1969,May,0.6
394,1969,June,0.4
469,1969,July,0.4
544,1969,August,0.5
619,1969,September,0.8
694,1969,October,0.9
769,1969,November,0.8
844,1969,December,0.6
20,1970,January,0.5
95,1970,February,0.3
170,1970,March,0.3
245,1970,April,0.2
320,1970,May,0
395,1970,June,-0.3
470,1970,July,-0.6
545,1970,August,-0.8
620,1970,September,-0.8
695,1970,October,-0.7
770,1970,November,-0.9
845,1970,December,-1.1
21,1971,January,-1.4
96,1971,February,-1.4
171,1971,March,-1.1
246,1971,April,-0.8
321,1971,May,-0.7
396,1971,June,-0.7
471,1971,July,-0.8
546,1971,August,-0.8
621,1971,September,-0.8
696,1971,October,-0.9
771,1971,November,-1
846,1971,December,-0.9
22,1972,January,-0.7
97,1972,February,-0.4
172,1972,March,0.1
247,1972,April,0.4
322,1972,May,0.7
397,1972,June,0.9
472,1972,July,1.1
547,1972,August,1.4
622,1972,September,1.6
697,1972,October,1.8
772,1972,November,2.1
847,1972,December,2.1
23,1973,January,1.8
98,1973,February,1.2
173,1973,March,0.5
248,1973,April,-0.1
323,1973,May,-0.5
398,1973,June,-0.9
473,1973,July,-1.1
548,1973,August,-1.3
623,1973,September,-1.5
698,1973,October,-1.7
773,1973,November,-1.9
848,1973,December,-2
24,1974,January,-1.8
99,1974,February,-1.6
174,1974,March,-1.2
249,1974,April,-1
324,1974,May,-0.9
399,1974,June,-0.8
474,1974,July,-0.5
549,1974,August,-0.4
624,1974,September,-0.4
699,1974,October,-0.6
774,1974,November,-0.8
849,1974,December,-0.6
25,1975,January,-0.5
100,1975,February,-0.6
175,1975,March,-0.7
250,1975,April,-0.7
325,1975,May,-0.8
400,1975,June,-1
475,1975,July,-1.1
550,1975,August,-1.2
625,1975,September,-1.4
700,1975,October,-1.4
775,1975,November,-1.6
850,1975,December,-1.7
26,1976,January,-1.6
101,1976,February,-1.2
176,1976,March,-0.7
251,1976,April,-0.5
326,1976,May,-0.3
401,1976,June,0
476,1976,July,0.2
551,1976,August,0.4
626,1976,September,0.6
701,1976,October,0.8
776,1976,November,0.9
851,1976,December,0.8
27,1977,January,0.7
102,1977,February,0.6
177,1977,March,0.3
252,1977,April,0.2
327,1977,May,0.2
402,1977,June,0.3
477,1977,July,0.4
552,1977,August,0.4
627,1977,September,0.6
702,1977,October,0.7
777,1977,November,0.8
852,1977,December,0.8
28,1978,January,0.7
103,1978,February,0.4
178,1978,March,0.1
253,1978,April,-0.2
328,1978,May,-0.3
403,1978,June,-0.3
478,1978,July,-0.4
553,1978,August,-0.4
628,1978,September,-0.4
703,1978,October,-0.3
778,1978,November,-0.1
853,1978,December,0
29,1979,January,0
104,1979,February,0.1
179,1979,March,0.2
254,1979,April,0.3
329,1979,May,0.2
404,1979,June,0
479,1979,July,0
554,1979,August,0.2
629,1979,September,0.3
704,1979,October,0.5
779,1979,November,0.5
854,1979,December,0.6
30,1980,January,0.6
105,1980,February,0.5
180,1980,March,0.3
255,1980,April,0.4
330,1980,May,0.5
405,1980,June,0.5
480,1980,July,0.3
555,1980,August,0
630,1980,September,-0.1
705,1980,October,0
780,1980,November,0.1
855,1980,December,0
31,1981,January,-0.3
106,1981,February,-0.5
181,1981,March,-0.5
256,1981,April,-0.4
331,1981,May,-0.3
406,1981,June,-0.3
481,1981,July,-0.3
556,1981,August,-0.2
631,1981,September,-0.2
706,1981,October,-0.1
781,1981,November,-0.2
856,1981,December,-0.1
32,1982,January,0
107,1982,February,0.1
182,1982,March,0.2
257,1982,April,0.5
332,1982,May,0.7
407,1982,June,0.7
482,1982,July,0.8
557,1982,August,1.1
632,1982,September,1.6
707,1982,October,2
782,1982,November,2.2
857,1982,December,2.2
33,1983,January,2.2
108,1983,February,1.9
183,1983,March,1.5
258,1983,April,1.3
333,1983,May,1.1
408,1983,June,0.7
483,1983,July,0.3
558,1983,August,-0.1
633,1983,September,-0.5
708,1983,October,-0.8
783,1983,November,-1
858,1983,December,-0.9
34,1984,January,-0.6
109,1984,February,-0.4
184,1984,March,-0.3
259,1984,April,-0.4
334,1984,May,-0.5
409,1984,June,-0.4
484,1984,July,-0.3
559,1984,August,-0.2
634,1984,September,-0.2
709,1984,October,-0.6
784,1984,November,-0.9
859,1984,December,-1.1
35,1985,January,-1
110,1985,February,-0.8
